Column,Data Type,Skewness,Apply Transformation,Box-Cox Applicable,Yeo-Johnson Applicable,Has NaNs,NaN Count,NaN %
AngleCh1,float64,-0.024298630435426752,False,True,True,No,0,0.00%
AngleStatusCh1,int32,0.9412381227067159,True,False,True,No,0,0.00%
AreaCh1,int32,3.5303544460710095,True,True,True,No,0,0.00%
AreaStatusCh1,int32,3.0648548804484608,True,False,True,No,0,0.00%
AvgIntenCh1,float64,2.9635898861967185,True,True,True,No,0,0.00%
AvgIntenCh2,float64,0.849422785905631,True,False,True,No,0,0.00%
AvgIntenCh3,float64,2.2056202512609824,True,True,True,No,0,0.00%
AvgIntenCh4,float64,1.9033000652892447,True,True,True,No,0,0.00%
AvgIntenStatusCh1,int32,1.4830693107339499,True,False,True,No,0,0.00%
AvgIntenStatusCh2,int32,0.8550411638638934,True,False,True,No,0,0.00%
AvgIntenStatusCh3,int32,2.970813452699022,True,False,True,No,0,0.00%
AvgIntenStatusCh4,int32,2.194726351133527,True,False,True,No,0,0.00%
ConvexHullAreaRatioCh1,float64,2.4802682455302043,True,True,True,No,0,0.00%
ConvexHullAreaRatioStatusCh1,int32,2.920064655857388,True,False,True,No,0,0.00%
ConvexHullPerimRatioCh1,float64,-1.3060400675531068,True,True,True,No,0,0.00%
ConvexHullPerimRatioStatusCh1,int32,1.5263515650468111,True,False,True,No,0,0.00%
DiffIntenDensityCh1,float64,2.7645822436561183,True,True,True,No,0,0.00%
DiffIntenDensityCh3,float64,2.0882915452888313,True,True,True,No,0,0.00%
DiffIntenDensityCh4,float64,1.902059809185833,True,True,True,No,0,0.00%
DiffIntenDensityStatusCh1,int32,1.7729072447536922,True,False,True,No,0,0.00%
DiffIntenDensityStatusCh3,int32,1.4680664037907218,True,False,True,No,0,0.00%
DiffIntenDensityStatusCh4,int32,1.541188914355501,True,False,True,No,0,0.00%
EntropyIntenCh1,float64,0.3984870772376699,False,True,True,No,0,0.00%
EntropyIntenCh3,float64,-1.0044462240251122,True,True,True,No,0,0.00%
EntropyIntenCh4,float64,-0.829137223676504,True,True,True,No,0,0.00%
EntropyIntenStatusCh1,int32,0.6859244332225073,True,False,True,No,0,0.00%
EntropyIntenStatusCh3,int32,0.8257624376492689,True,False,True,No,0,0.00%
EntropyIntenStatusCh4,int32,1.0169069600832832,True,False,True,No,0,0.00%
EqCircDiamCh1,float64,1.9584410851154008,True,True,True,No,0,0.00%
EqCircDiamStatusCh1,int32,2.43303747902713,True,False,True,No,0,0.00%
EqEllipseLWRCh1,float64,2.6980038315429895,True,True,True,No,0,0.00%
EqEllipseLWRStatusCh1,int32,2.3991805816785097,True,False,True,No,0,0.00%
